<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.03	01:00:00	26.695	26.703	26.641	26.644	696	0	26
2024.05.03	02:00:00	26.649	26.680	26.629	26.669	704	0	18
2024.05.03	03:00:00	26.671	26.679	26.592	26.670	1037	0	17
2024.05.03	04:00:00	26.668	26.756	26.621	26.631	1394	0	18
2024.05.03	05:00:00	26.628	26.639	26.572	26.618	1146	0	17
2024.05.03	06:00:00	26.617	26.639	26.601	26.629	887	0	17
2024.05.03	07:00:00	26.631	26.732	26.623	26.709	876	0	17
2024.05.03	08:00:00	26.714	26.741	26.672	26.685	1054	0	17
2024.05.03	09:00:00	26.684	26.696	26.504	26.508	1990	0	10
2024.05.03	10:00:00	26.511	26.567	26.506	26.538	2179	0	10
2024.05.03	11:00:00	26.539	26.597	26.493	26.529	2265	0	9
2024.05.03	12:00:00	26.532	26.581	26.485	26.556	1779	0	9
2024.05.03	13:00:00	26.557	26.563	26.480	26.514	1852	0	9
2024.05.03	14:00:00	26.512	26.519	26.409	26.459	1993	0	9
2024.05.03	15:00:00	26.458	26.877	26.339	26.605	5820	0	7
2024.05.03	16:00:00	26.603	26.644	26.116	26.329	7510	0	19
2024.05.03	17:00:00	26.518	26.547	26.122	26.282	7992	0	19
2024.05.03	18:00:00	26.283	26.388	26.257	26.311	4715	0	19
2024.05.03	19:00:00	26.313	26.479	26.301	26.457	3071	0	10
2024.05.03	20:00:00	26.458	26.489	26.413	26.474	2428	0	10
2024.05.03	21:00:00	26.475	26.482	26.391	26.426	1710	0	9
2024.05.03	22:00:00	26.424	26.496	26.390	26.491	1575	0	9
2024.05.03	23:00:00	26.481	26.565	26.477	26.543	1105	0	10
2024.05.06	01:00:00	26.548	26.620	26.542	26.587	658	0	21
2024.05.06	02:00:00	26.595	26.625	26.443	26.449	1250	0	18
2024.05.06	03:00:00	26.447	26.557	26.417	26.514	1497	0	24
2024.05.06	04:00:00	26.514	26.948	26.514	26.932	3633	0	28
2024.05.06	05:00:00	26.935	26.987	26.882	26.908	1969	0	22
2024.05.06	06:00:00	26.910	26.941	26.861	26.882	1420	0	21
2024.05.06	07:00:00	26.882	26.896	26.825	26.865	908	0	22
