DATETIME,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,RSI
2015-01-06 16:00:00,16.234,16.309,16.211,16.277,1598,31238000,20,57.95857377120005
2015-01-06 17:00:00,16.286,16.369,16.22,16.293,2487,48814000,20,59.02867278644502
2015-01-06 18:00:00,16.293,16.707,16.268,16.586,2537,52088000,13,72.72163019683184
2015-01-06 19:00:00,16.586,16.63,16.509,16.538,2971,68198000,17,68.67252956684588
2015-01-06 20:00:00,16.538,16.626,16.538,16.577,2068,50604000,21,70.12788473896863
2015-01-06 21:00:00,16.573,16.579,16.522,16.539,1063,26336000,25,66.86826175309449
2015-01-06 22:00:00,16.54,16.568,16.517,16.523,1091,27239000,25,65.48800630306383
2015-01-06 23:00:00,16.523,16.548,16.485,16.485,336,8202000,24,62.20398516903224
2015-01-07 00:00:00,16.501,16.503,16.476,16.502,63,1575000,75,63.09559007206798
2015-01-07 01:00:00,16.54,16.546,16.443,16.444,453,10317000,0,58.063020180415506
2015-01-07 02:00:00,16.449,16.514,16.418,16.502,928,18052000,19,61.380316046688876
2015-01-07 03:00:00,16.494,16.522,16.475,16.496,1423,32493000,21,60.84413223390705
2015-01-07 04:00:00,16.494,16.522,16.48,16.502,596,12992000,18,61.209053887307064
2015-01-07 05:00:00,16.502,16.51,16.421,16.421,698,16330000,16,53.90520269997027
2015-01-07 06:00:00,16.423,16.462,16.423,16.462,332,7453000,19,56.72036452663798
2015-01-07 07:00:00,16.458,16.458,16.385,16.406,941,21182000,17,52.044962023876394
2015-01-07 08:00:00,16.407,16.443,16.393,16.412,969,22591000,18,52.49676705838079
2015-01-07 09:00:00,16.414,16.449,16.382,16.434,886,21718000,14,54.200621630405166
2015-01-07 10:00:00,16.433,16.473,16.387,16.421,818,17220000,18,52.99108909043563
2015-01-07 11:00:00,16.421,16.492,16.419,16.47,429,6891000,20,56.89564669128704
2015-01-07 12:00:00,16.469,16.503,16.381,16.406,687,10992000,19,50.94380218002733
2015-01-07 13:00:00,16.405,16.45,16.286,16.304,714,13412000,22,43.189305104277835
2015-01-07 14:00:00,16.307,16.33,16.295,16.312,832,18410000,22,43.91044377291973
2015-01-07 15:00:00,16.311,16.382,16.302,16.362,2372,52769000,19,48.32543844131719
2015-01-07 16:00:00,16.36,16.45,16.342,16.412,1869,36166000,18,52.36349805091213
2015-01-07 17:00:00,16.413,16.625,16.403,16.577,2651,50839000,18,62.7173382754857
2015-01-07 18:00:00,16.577,16.603,16.528,16.54,1997,37504000,20,59.58957177564663
2015-01-07 19:00:00,16.542,16.59,16.535,16.568,1688,37193000,22,61.16783452219347
2015-01-07 20:00:00,16.565,16.571,16.55,16.556,56,1400000,26,60.08476063213717
2015-01-09 17:00:00,16.506,16.618,16.414,16.436,2949,47227000,9,50.46228954032409
2015-01-09 18:00:00,16.437,16.459,16.405,16.425,1930,30905000,15,49.67692176241193
2015-01-09 19:00:00,16.425,16.448,16.409,16.423,1260,20347000,14,49.52599670621684
2015-01-09 20:00:00,16.423,16.453,16.364,16.421,2163,38304000,17,49.36448427412727
2015-01-09 21:00:00,16.421,16.435,16.379,16.416,1009,17691000,20,48.93483355801198
2015-01-09 22:00:00,16.422,16.452,16.397,16.45,784,16103000,20,51.99457580851091
2015-01-09 23:00:00,16.45,16.514,16.449,16.479,384,6952000,24,54.49887378242211
2015-01-12 01:00:00,16.471,16.67,16.47,16.63,599,9899000,11,64.79664755888325
2015-01-12 02:00:00,16.63,16.631,16.526,16.532,718,11522000,17,55.94689723081614
2015-01-12 03:00:00,16.534,16.624,16.502,16.569,1214,20733000,17,58.26452746733833
2015-01-12 04:00:00,16.568,16.605,16.537,16.571,632,13282000,19,58.39195343131828
2015-01-12 05:00:00,16.572,16.584,16.525,16.529,523,10591000,19,54.62047162827617
2015-01-12 06:00:00,16.531,16.579,16.52,16.555,412,9143000,20,56.49382065528407
2015-01-12 07:00:00,16.558,16.64,16.539,16.615,905,18591000,17,60.54197151685038
2015-01-12 08:00:00,16.615,16.635,16.579,16.583,1067,17530000,17,57.47058299355162
2015-01-12 09:00:00,16.583,16.63,16.58,16.626,382,7412000,18,60.379312681200446
2015-01-12 10:00:00,16.625,16.634,16.461,16.567,912,16762000,16,54.837407530405024
2015-01-12 11:00:00,16.567,16.593,16.536,16.55,498,9650000,18,53.31884306181206
2015-01-12 12:00:00,16.545,16.55,16.493,16.499,483,8790000,18,48.94030685712284
2015-01-12 13:00:00,16.499,16.499,16.462,16.462,476,7871000,19,45.989612606689
2015-01-12 14:00:00,16.462,16.529,16.419,16.446,812,13919000,17,44.73359911130893
2015-01-12 15:00:00,16.442,16.528,16.436,16.522,1441,24006000,18,51.50816493365784
2015-01-12 16:00:00,16.52,16.574,16.483,16.553,1409,24506000,16,53.985841172657466
2015-01-12 17:00:00,16.55,16.573,16.458,16.462,1656,29521000,18,46.47840669879943
2015-01-12 18:00:00,16.464,16.498,16.455,16.475,710,12850000,19,47.599479767354445
2015-01-12 19:00:00,16.475,16.523,16.46,16.495,1078,24052000,18,49.35698163375417
2015-01-12 20:00:00,16.498,16.609,16.497,16.539,2267,53969000,20,53.08500984329662
2015-01-12 21:00:00,16.542,16.63,16.539,16.574,1190,28912000,22,55.86800963470311
2015-01-12 22:00:00,16.574,16.603,16.549,16.563,851,20050000,23,54.7683940785601
2015-01-12 23:00:00,16.563,16.572,16.55,16.552,279,6183000,24,53.631596642328226
2015-01-13 00:00:00,16.557,16.577,16.557,16.565,92,2300000,39,54.82499821995965
2015-01-13 01:00:00,16.571,16.578,16.552,16.563,374,8397000,21,54.59220708099623
2015-01-13 02:00:00,16.561,16.603,16.56,16.595,401,6901000,17,57.68789463039029
2015-01-13 03:00:00,16.588,16.766,16.58,16.711,1367,23854000,15,66.58196127744954
2015-01-13 04:00:00,16.714,16.818,16.705,16.812,930,15189000,11,72.08414138024986
2015-01-13 05:00:00,16.815,16.845,16.769,16.772,579,9771000,14,67.35434176825645
2015-01-13 06:00:00,16.773,16.788,16.74,16.744,574,9585000,19,64.17977876505029
2015-01-13 07:00:00,16.746,16.802,16.735,16.775,785,16592000,18,66.08563605055605
2015-01-13 08:00:00,16.773,16.775,16.71,16.725,1202,26824000,18,60.4948424815859
2015-01-13 09:00:00,16.723,16.855,16.72,16.849,1035,23483000,16,67.77575068838946
2015-01-13 10:00:00,16.847,16.961,16.826,16.96,1347,22740000,15,72.63731890299422
2015-01-13 11:00:00,16.957,17.038,16.859,16.919,1695,40159000,16,68.5249875437233
2015-01-13 12:00:00,16.917,17.017,16.86,16.988,1086,24712000,10,71.45401379979297
2015-01-13 13:00:00,16.992,16.992,16.91,16.918,789,15232000,14,64.85975082341197
2015-01-13 14:00:00,16.919,16.953,16.878,16.907,1070,21318000,17,63.862363262726376
2015-01-13 15:00:00,16.905,17.071,16.881,17.041,2001,38052000,15,69.92882968946454
2015-01-13 16:00:00,17.043,17.111,16.896,16.949,2024,43036000,0,62.20758833955071
2015-01-13 17:00:00,16.95,17.057,16.91,17.024,2239,54683000,12,65.54732297157086
2015-01-13 18:00:00,17.024,17.184,17.019,17.171,2300,55603000,15,70.96349499248184
2015-01-13 19:00:00,17.17,17.183,17.113,17.135,2260,56024000,17,68.1384112311649
